subject_id,course_number,section,term_code,crn,title,description,path,original_name,is_file
AFRI,0090,S01,2018-Fall,17078,"An Introduction to Africana Studies","This course introduces students to the vibrant and contested field of Africana Studies by critically exploring and analyzing the links and disjunctures in the cultural, political, and intellectual practices and experiences of people of African descent throughout the African diaspora. Beginning with a critical overview of the history, theoretical orientations, and multiple methodological strategies of the discipline, the course is divided into three thematic units that examine intellectuals, politics, and movements; identity construction and formation; and literary, cultural, and aesthetic theories and practices in the African diaspora.",syllabi/riGRnhZXLs9J3qSwOSuPjurWMeX4E6JqZCL3xosI.pdf,"Introduction to Africana Studies Fall 2018.pdf",1
AFRI,1968,S01,2018-Fall,17084,"1968: A Year in Review","In 1968 students’ walked-out at Brown, leading to the 1969 creation of the Rites and Reason Theatre and later the formation of Afro-American Studies, now the Department of African Studies/Rites and Reason Theatre. 1968 was also a global year of contention, confrontation and change, with consequences that continue to resonate into the present. This class harnesses the multiple narratives and studies of our faculty across the campus and alumni who took part in the 1968 walk-out. Classes blend lecture and discussion. Speakers assign appropriate reading to coincide with their topics. Requirements include mandatory participation to planned anniversary events.",syllabi/6eAE2Gu34HqDTWTEWF250p19Xkpi2BUm4WZpnInZ.pdf,"1968 syllabus Fall2018.pdf",1
AFRI,2001,S01,2018-Fall,17085,"Theories of Africana Thought: Intellectual History and Critical Theory ","This course will be a close reading of the various ideas, theories and practices of the thinkers, writers, artists and activitists whose work and practices have constituted an Africana intellectual tradition. In conducting this review we will examine questions around the formation and the history of thought and intellectual traditions in general. We will also think about the various fields of knowldege which have shaped Africana thought. The course therefore will spend some time working through the different meanings of intellectual work and critical thought and theory. Enrollment limited to 12 graduate students.",syllabi/WV0yMLi6FOxB715WgMxF0n5MGl5TojJdrfIbUvry.pdf,"AFRI  2001 (18) (2).pdf",1
AFRI,1110,S01,2018-Fall,17088,"Voices Beneath the Veil","VBV is an interdisciplinary exploration of African-American history and cultures through the analyses of Black authored plays from 1858 to the present.  The course focuses on the development of a thesis paper, which includes an incremental re-writing process.",syllabi/UPUXXH8y6TPfljd2BD3dD1ev3PYJB730I2nLc9sB.doc,"AFRI 1110, VBV, FALL 2018 SYLLABUS.doc",1
AFRI,1060Z,S01,2018-Fall,17090,"Race, Sexuality, and Mental Disability History","This seminar investigates the fraught entanglement of mental disability with race and homosexuality beginning with late 19th Century ideas of scientific racism and the invention of the homosexual body in African American communities.  By tracking changes in Psychiatry and Psychology through the 1960s and 1970s, the course examines the impact of the Civil Rights and Gay Rights movements on sustaining contemporary mental health diagnosis of "gender dysphoria" associated with Trans people. The course will further examine several approaches to queer, trans, and gay history from the fields of color critique, black feminism, and disability studies. Enrollment limit is 20.",syllabi/svYfNqnzm2F1UAPTiKjMvd9TvLB4GZxL8Dia5DRs.pdf," Race, Sex, Disability Syllabus 9.9.18.pdf",1
AFRI,1060U,S01,2018-Fall,17103,"An Introduction to Africa","Africa invokes myriad images in the global imagination. It figures in debates on the evolution of humans; in the formation of capitalism, and even as a counterpoint to discourses on human progress. This course interrogates how “Africa” gets mobilized in popular discourse in the US and beyond.  How might we reconcile the idea of Africa with contemporary conditions of the African continent? We will not only examine Africa through a broad range of disciplinary perspectives; but also become familiar with social, cultural, political and economic diversity of the African continent. We will engage the disciplines of history, economics, politics, cultural studies and gender studies among others.",syllabi/UQOVoJs9HYxrE3JSROgjsUhA60ZKzS6ObACnCo0y.docx,"An Introduction to Africa -- Fall 2018.docx",1
AMST,1901D,S01,2018-Fall,15893,"Motherhood in Black and White","Focuses on American motherhood with respect to race:  under slavery; at the turn of the 20th century; and in contemporary society. Texts include fiction, film, history, feminist and psychoanalytic theory, e.g. "Uncle Tom's Cabin,'' "Incidents in the Life of a Slave Girl," "Imitation of Life," and  "The Reproduction of Mothering." Enrollment limited to 20.",syllabi/2jEwOgm2XaaMmQ03vrzGvqHK07AfeyweUjMlchbh.doc,"Motherhood Syllabus 18.doc",1
ETHN,1000,S01,2018-Fall,15897,"Introduction to American/Ethnic Studies","Considers the U.S. as a society whose unifying identity is rooted in ethnic and racial diversity. Explores the historical and contemporary experiences of racial and ethnic groups in this country and analyzes different forms of representation of those experiences, as well as representations of the racial and ethnic stratification in the U.S. imagination.",syllabi/NCV7cAw6Vt0C4Go9r7yQDMMO84tFB1YsC834unXD.docx,"ETHN 1000 Syllabus (For Website).docx",1
AMST,1611A,S01,2018-Fall,15898,"Making America: Twentieth-Century U.S. Immigrant/Ethnic Literature","Examines the literature of  first and second generation immigrant/ethnic writers from 1900 to the 1970's. Attempts to place the individual works (primarily novels) in their literary and sociocultural contexts, examining them as conscious works of literature written within and against American and imported literary traditions and as creative contributions to an ongoing national discourse on immigration and ethnicity.",syllabi/Bo79lbDzfu3neRb1ZnN3PMS1YZxoSI6mF3keXHyX.doc,"SYL Fall 2018.doc",1
AMST,0150E,S01,2018-Fall,15904,"Skill: From Flint-knapping to the Maker Movement","What does it mean to be skilled? How do mechanical and material knowledge, expertise in the use of tools, and physical ability allow us to make and repair things? How do actions, words, images and artifacts embody skills? How do skills fit into social and cultural settings? How have ideas about skills changed over time? 
<br><br>
In this course we will read the writings of skilled craftspeople, scholars, and cultural critics; observe skilled practitioners in a variety of areas; learn new skills, and write about them. ",syllabi/cmmlcsvuJcLYx4V2D8Vi06Dg2dFNemaJ6QI7BPtP.pdf,"Syllabus - Skill- From Flintknapping to the Maker Movement Brown University AMST0150E  - Lubar.pdf",1
STS,1900,S01,2018-Fall,16155,"Senior Seminar in Science and Society","This is an advanced seminar that uses a Problem Based Learning style pedagogy to explore real-world problems in STS. To solve assigned problems students will want to explore critical scholarship in areas <i>such as</i> laboratory studies, feminist science and technology studies, the rhetoric and discourse of science and technology, expertise and the public understanding of science.  Course is intended for Science and Society senior concentrators, but is open to others with appropriate background.  Enrollment limited to 20.",syllabi/ebUpHNM3pMNVewsleHGsuJf3AB6HA8jjENwJuG1Y.docx,"Syllabus for SCSO 1900Fall 2018_1.docx",1
STS,0700B,S01,2018-Fall,16156,"Science and Social Controversy","In this course we examine the institution of science and its relations to the social context in which it is embedded. Scientific objectivity, scientific consensus, scientific authority, and the social and moral accountability of scientists will be considered in the context of discussing such controversies as: the AIDS epidemic, climate change, science and religion, the Manhattan Project, the Tuskegee Syphilis Experiment, genetic and pharmacological enhancement, the role of drug companies in science and medicine, psychiatric diagnosis and medication, robotics, and the implications of neuroscience for free will and moral responsibility. Enrollment limited to 20 first year students and sophomores.",syllabi/Sb3Wq4JMlDMKpsf2gFEP3K17ngO5OMAUmkvbbHbP.docx,"Science and Social Controversy STS 0700B Fall 2018b.docx",1
AMST,1901B,S01,2018-Fall,16200,"Form Matters: Contemporary Short Fiction","Form Matters is an advanced seminar in reading contemporary short fiction, mainly centered on US writers. The class particularly focuses on socially-attuned and historically-minded neo-formalist analyses of literature. Fiction readings will be supplemented with relevant critical readings from both scholars and practicing writers. Students will be expected to engage in rigorous discussion of the material. Goals of the course include introducing you to a relevant critical vocabulary for discussing form, deepening your familiarity with contemporary US short fiction, and improving your oral and written communication skills.",syllabi/Os4aSTwwyuzgaeBrytBRZjKj87dCRz2qJneQtVFV.docx,"Syllabus Form Matters.docx",1
AMST,1700M,S01,2018-Fall,16617,"Transpacific America","The seminar is designed to help us think about the circulation and exchange of goods, people and ideas across the Pacific that have shaped the development of North America from colonial times to the present.  We will explore ways in which these circuits have shaped questions of identity and belonging in the context of empire, settler colonialism and diasporas.",syllabi/0jENzPFPRXGI69TZxmO5JRY1B6gisEg5kyc0Gssb.docx,AMST_1700M_2018-Fall_S01.docx,1
AMST,1900I,S01,2018-Fall,16824,"Latina/o Cultural Theory","Advanced seminar designed to familiarize students with past and present debates in Latina/o Studies. Knowledge of these critical conversations will aid students in making their own contributions to the field as they write their theses and dissertations. We will read such folks as Jose Limon, Mary Pat Brady, Frances Aparicio, and Gustavo Perez Firmat, to name but a few. Enrollment limited to 20 juniors and seniors.",syllabi/x2rTU89JXUW8iuRiybSfHVjvcR1G8HZcSac4cmYE.doc,"Latinx Theory Syllabus 2018.doc",1
AMST,1906Q,S01,2018-Fall,16845,"The History of Children and Childhood in America","We will examine the evolution of childhood--as both a socioculturally constructed concept and a lived experience--from the colonial period to the present.  In doing so, we will explore the impact of race, gender, class, and region on those constructions and experiences and consider the interpretive possibilities and challenges offered by various types of evidence: visual and literary representations, memoirs, child rearing advice,  toys and play, children’s literature, clothing, and protective and restrictive laws.",syllabi/lDMKtiXGiqzWWaUGaBs6DY8D2wrau5gY3mW18IsH.doc,"syll-Final 2018.doc",1
AMST,2520,S01,2018-Fall,16911,"American Studies: Professional Issues in American Studies","This course explores the mechanics of a doctorate degree in American Studies. We will explore the constitution of our field through the elaboration of field exam lists and narratives, query its pedagogical application in the design of undergraduate syllabi, and begin to outline and enact our participation in the profession both within and beyond the academy. At the end of this class, students will have constructed a portfolio that will assist their progress towards a degree and provide the tools with which to chart pathways once a degree is in hand. S/NC",syllabi/VN0YQYnjSf2seT5uo9SQ5YnHsGXtgTOkLaE0znmX.docx,"fall 2018 - 2520.docx",1
AMST,2650,S01,2018-Fall,16950,"Introduction to Public Humanities","This class, a foundational course for the MA in Public Humanities with preference given to American Studies graduate students, will address the theoretical bases of the public humanities, including topics of history and memory, museums and memorials, the roles of expertise and experience, community cultural development, and material culture. Enrollment limited to 20 graduate students.",syllabi/2LceelxyddywA1bjMrVJUBqgg7b241EkMhdOVUJ0.docx,"AMST2650 Introduction to Public Humanities Fall 2018 syllabus.docx",1
ETHN,1650B,S01,2018-Fall,17107,"Asian Americans and the Racial State: Exclusion and Incarceration","The exclusion of Chinese from naturalization and immigration (from 1870 to 1943) and the wholesale incarceration of Japanese Americans during WWII remain important touchstones for thinking about the Asian American  experience and lenses through which to examine current struggles over immigration, mass incarceration and race in North America.",syllabi/7hB57KB4VXRpKY7HoSCFLvLT5F5MvHpwUHyARr06.docx,"ETHN 1650B.F2018.AA and the Racial State.syll.docx",1
AMST,2020E,S01,2018-Fall,17125,"Introduction to Interdisciplinary American Studies","This graduate-level course offers an introduction to the discipline of American Studies through a close reading of four important texts representing different methodologies and theories within the discipline. We will also read a series of seminal articles focused on transnationalism, highlighting the significance of border-crossings to the American experience throughout the semester.  The goal of the course is to familiarize students with pedagogical approaches within American Studies, through active seminar discussions, fieldtrips within the community, and work with material and visual media as well as secondary texts.   
",syllabi/1PtNKgqiOrLQDH72E8aXMoodM8oXhv8NNgSU8gvm.docx,AMST202018.docx,1
AMST,1612Q,S02,2018-Fall,17475,"Women / Writing / Power","An introduction to American women's writing and to the development of feminist literary practice and theory. This course will cover a broad historical range from the colonial poets Anne Bradstreet and Phillis Wheatley to contemporary writers Toni Morrison, a Nobel Laureate, and Marilynne Robinson, a Pulitzer Prize winner. Attention to the effects of racial, class, and cultural differences will inform this course that will focus on gender and literature.",syllabi/g1HcRUyVDkS6HhfSOELdjUhFWuFgG51ATbErdGiV.doc,WWP_syllabus_2018.doc,1
ANTH,0450,S01,2018-Fall,16098,"Inequality, Sustainability, and Mobility in a Car-Clogged World","The global car population is predicted to reach two billion by the year 2020. The social, political, health, and environmental consequences are immense.  These, as well as the cultural and political economic explanations for the car population explosion, will be explored in this class, as will alternative futures for transit.",syllabi/YEAojsOOrN5PwT2EYjwcGQ9kMbLYzUYBN93YOl05.docx,"Syllabus Two Billion Cars Fall 2018.docx",1
